ride_id,rider_id,driver_id,request_time,pickup_time,dropoff_time,pickup_city,dropoff_city,distance_km,status,fare
1,2548,122,1/27/2022 9:49,1/27/2022 9:51,1/27/2022 10:13,San Francisco,Vancouver,12.81,completed,32.26
2,3464,1498,7/24/2021 13:21,7/24/2021 13:36,7/24/2021 14:28,Calgary,Toronto,4.22,cancelled,19.77
3,5897,1183,7/25/2023 20:43,7/25/2023 20:55,7/25/2023 21:12,New York,Chicago,3.1,cancelled,10.59
4,214,262,2/26/2021 2:29,2/26/2021 2:40,2/26/2021 2:58,New York,San Francisco,9.69,completed,26.73
5,2446,449,8/17/2024 2:51,8/17/2024 2:54,8/17/2024 3:07,Vancouver,Vancouver,24.04,completed,55.85
6,2084,1425,9/22/2024 12:34,9/22/2024 12:36,9/22/2024 12:56,Los Angeles,Boston,3.11,completed,7.2
7,2141,1031,5/26/2021 7:18,5/26/2021 7:25,5/26/2021 7:51,New York,Montreal,7.74,completed,26.4
8,3229,6,11/26/2023 17:35,11/26/2023 17:49,11/26/2023 17:57,Los Angeles,Ottawa,27.95,completed,78.47
9,7209,936,12/15/2022 23:05,12/15/2022 23:11,12/15/2022 23:41,Ottawa,Toronto,10.32,completed,24.19
10,3675,271,4/7/2024 21:34,4/7/2024 21:36,4/7/2024 22:24,New York,Chicago,19.57,cancelled,52.98
11,1469,852,11/27/2023 10:31,11/27/2023 10:46,11/27/2023 11:43,Toronto,Vancouver,11.38,completed,25.29
12,9964,84,8/29/2024 21:30,8/29/2024 21:33,8/29/2024 22:15,Calgary,Boston,26.77,completed,68.67
13,478,540,1/21/2022 3:55,1/21/2022 4:09,1/21/2022 5:01,Calgary,San Francisco,17.99,completed,41.05
14,6343,803,9/9/2021 23:20,9/9/2021 23:23,9/10/2021 0:04,Toronto,Boston,20.8,completed,57.71
15,6878,998,1/22/2021 17:39,1/22/2021 17:48,1/22/2021 17:56,Los Angeles,Montreal,24.85,cancelled,65.41
16,6039,1985,7/30/2024 19:38,7/30/2024 19:45,7/30/2024 20:43,Montreal,Vancouver,16.08,completed,46.83
17,665,785,12/30/2021 7:13,12/30/2021 7:25,12/30/2021 7:55,Chicago,Toronto,8.87,completed,21.44
18,6451,742,7/16/2022 20:03,7/16/2022 20:04,7/16/2022 20:28,Ottawa,San Francisco,4.88,completed,8.01
19,4174,616,10/17/2023 2:27,10/17/2023 2:28,10/17/2023 3:01,Montreal,Montreal,22.71,completed,51.78
20,5017,1239,4/11/2024 11:31,4/11/2024 11:35,4/11/2024 12:25,Boston,Ottawa,15.82,completed,38.69
21,140,620,10/3/2023 10:13,10/3/2023 10:23,10/3/2023 10:52,Chicago,Vancouver,21.5,completed,61.34
22,2768,790,7/29/2021 5:35,7/29/2021 5:42,7/29/2021 6:40,Toronto,Toronto,1.11,completed,8.89
23,2407,524,12/3/2021 5:32,12/3/2021 5:45,12/3/2021 6:16,Chicago,Los Angeles,10.17,completed,25.83
24,9090,1425,5/13/2022 23:23,5/13/2022 23:28,5/14/2022 0:16,Chicago,Toronto,8.84,cancelled,21.8
25,8409,1304,10/8/2024 19:04,10/8/2024 19:05,10/8/2024 19:44,Vancouver,Ottawa,23.88,cancelled,61.21
26,1608,1516,8/26/2023 10:43,8/26/2023 10:58,8/26/2023 11:29,Chicago,Boston,27.39,completed,77.94
27,1387,1348,7/23/2023 6:53,7/23/2023 7:03,7/23/2023 7:51,Montreal,San Francisco,3.59,completed,11.38
28,9171,694,6/4/2024 12:29,6/4/2024 12:33,6/4/2024 12:46,San Francisco,Vancouver,12.24,completed,36.16
29,3059,1821,7/22/2022 23:47,7/22/2022 23:58,7/23/2022 0:06,L.A,Calgary,1.13,completed,8.52
30,4023,534,11/11/2021 6:32,11/11/2021 6:46,11/11/2021 6:53,Boston,Toronto,20.33,cancelled,57.24
31,5994,1738,11/5/2023 10:02,11/5/2023 10:11,11/5/2023 10:47,Montreal,New York,28.57,completed,70.9
32,4376,758,9/3/2024 12:06,9/3/2024 12:14,9/3/2024 13:08,Montreal,Ottawa,4.06,completed,14.81
33,8182,678,5/21/2024 15:29,5/21/2024 15:37,5/21/2024 16:07,Ottawa,San Francisco,2.4,completed,15.35
34,5497,1940,11/6/2021 16:59,11/6/2021 17:05,11/6/2021 17:25,Montreal,Los Angeles,15.51,completed,40.64
35,4438,805,8/24/2022 15:42,8/24/2022 15:57,8/24/2022 16:48,Ottawa,Calgary,7.06,completed,18.2
36,1042,883,11/21/2021 1:58,11/21/2021 2:13,11/21/2021 2:35,Chicago,Toronto,2.52,completed,7.55
37,4679,758,2/4/2021 8:55,2/4/2021 9:04,2/4/2021 9:53,New York,Ottawa,24.84,cancelled,60.28
38,5020,1041,5/16/2021 23:39,5/16/2021 23:53,5/17/2021 0:19,Chicago,Montreal,20.06,completed,58.35
39,5294,1611,12/31/2024 3:55,12/31/2024 4:01,12/31/2024 4:42,Montreal,Montreal,7.26,completed,22.27
40,7319,373,6/25/2021 7:02,6/25/2021 7:16,6/25/2021 7:36,New York,Vancouver,9.56,completed,28.67
41,4525,280,1/8/2022 4:50,1/8/2022 4:56,1/8/2022 5:50,Ottawa,Toronto,22.42,completed,60.72
42,6305,251,12/20/2024 13:25,12/20/2024 13:39,12/20/2024 14:02,N.Y,S.F,12.46,completed,29.14
43,9561,401,1/20/2022 23:06,1/20/2022 23:19,1/20/2022 23:34,Montreal,Toronto,26.82,completed,67.57
44,5190,1815,4/25/2022 22:21,4/25/2022 22:25,4/25/2022 23:15,New York,Vancouver,2.68,completed,9.44
45,3605,1348,4/11/2024 15:36,4/11/2024 15:44,4/11/2024 16:03,Toronto,New York,8.76,cancelled,17.12
46,1999,1016,12/31/2024 11:12,12/31/2024 11:21,12/31/2024 12:18,Los Angeles,Chicago,11.99,completed,25.26
47,1971,163,7/27/2022 5:28,7/27/2022 5:40,7/27/2022 6:20,Vancouver,Toronto,4.61,completed,13.92
48,9126,576,5/10/2022 12:24,5/10/2022 12:27,5/10/2022 12:45,Los Angeles,San Francisco,12.72,completed,35.73
49,2888,887,10/13/2024 7:02,10/13/2024 7:17,10/13/2024 7:54,Vancouver,S.F,1.29,completed,12.68
