ticker,market_date,price,open_price,high,low,volume,change,market_cap,circulating_supply,percent_change_24h,percent_change_7d
XRP,2023-07-24,2966.96,2120.17,3085.63,1634.24,831554.37,39.94%,2871519409055.42,358691325.32,15.67,-28.16
ETH,2023-03-04,7156.75,7073.31,7168.14,6273.91,537238.0,1.18%,5048851538867.67,602300172.31,-14.12,-40.12
BTC,2024-04-19,16511.93,16576.84,17136.65,16223.05,644019.17,-0.39%,3389457894281.1,552971152.46,-2.29,2.14
BTC,2023-12-02,45630.95,45808.12,45901.39,44968.03,787197.28,-0.39%,28548573268501.35,612285187.73,13.12,-16.69
LTC,2024-05-09,43150.01,43536.51,43727.58,42969.0,967864.85,-0.89%,34665694939089.86,448521601.86,-16.78,-17.99
ADA,2023-10-03,5524.02,5541.99,6093.26,4835.43,816322.19,-0.32%,2987076933125.63,963874707.43,4.13,8.76
XRP,2022-08-21,29557.94,29854.71,30239.61,29279.06,197497.42,-0.99%,5543378792213.6,613160406.69,6.27,-2.35
BTC,2024-04-14,38497.61,37904.44,38781.21,36981.06,899191.39,1.56%,35539428908279.59,541059325.02,-4.35,20.53
LTC,2023-11-05,40734.16,40600.27,41449.76,39705.23,950267.22,0.33%,23630510089594.32,451112543.52,6.41,49.63
LTC,2022-08-12,15932.24,16283.81,16399.16,15696.74,198475.06,-2.16%,273920096821.58,271766921.48,8.21,-12.79
ETH,2023-04-25,21303.83,21363.94,21426.13,20580.82,226585.82,-0.28%,17411688063037.71,634572207.14,17.46,10.22
BTC,2022-06-16,5601.57,6309.74,6498.26,5479.65,100616.53,-11.22%,4671768679166.05,116930092.24,4.22,-30.54
ETH,2022-09-23,24488.17,24013.76,24740.92,23952.68,548793.06,1.98%,15206648403707.03,836066752.92,-17.2,-42.8
LTC,2023-05-13,21707.75,21859.83,21920.87,21392.7,702329.89,-0.7%,8506939892394.58,260873120.97,16.18,-2.98
ADA,2022-11-09,34913.32,34915.08,35118.49,34147.73,166626.54,-0.01%,5683613243843.07,529944748.81,-15.31,42.14
ETH,2022-06-02,23562.93,23634.11,24044.02,23065.0,318331.54,-0.3%,8430687486160.33,837823513.19,-9.96,6.06
BTC,2023-08-31,37166.05,37104.56,37440.48,37058.86,247729.1,0.17%,35425794697806.46,352873335.95,-8.48,-14.08
ADA,2022-10-02,35917.24,35809.41,36197.43,35394.99,11508.98,0.3%,6936237959227.74,335067288.97,-10.42,13.74
XRP,2024-05-16,43764.47,43783.63,44351.78,43369.22,704811.33,-0.04%,18328924451326.76,662533693.08,-18.13,-5.46
LTC,2024-05-07,8051.03,7968.56,8496.13,7481.29,757929.92,1.03%,7117040307727.81,495088087.7,-7.52,-3.31
XRP,2022-11-28,28120.68,27473.25,28436.29,26494.68,139216.53,2.36%,441904041592.22,949597986.74,-3.3,-49.66
BTC,2022-05-22,48647.43,49014.21,49689.97,48402.15,612276.04,-0.75%,9696301593443.6,303113627.54,7.54,-31.78
XRP,2023-06-30,31253.73,31419.19,31441.04,30505.31,124621.6,-0.53%,8039468303580.04,653913423.21,12.69,14.49
BTC,2022-10-25,13992.33,13992.65,14011.22,13951.99,562772.18,-0.0%,13244524637705.67,938500360.94,16.39,-45.8
ADA,2024-03-21,24796.38,24774.84,25418.98,24316.18,872696.62,0.09%,4441280401536.91,376203343.02,-8.36,-36.15
LTC,2023-04-26,17207.33,16941.8,17309.0,16848.09,45308.81,1.57%,4652045005820.68,150266620.73,3.34,-13.91
ADA,2022-09-29,14535.94,14741.01,15219.07,14501.3,187790.98,-1.39%,7609959698193.75,71792021.21,-3.87,-17.15
XRP,2022-09-08,5748.69,5060.08,5968.74,4586.08,976467.16,13.61%,1979319623464.53,479607432.63,7.98,-7.35
LTC,2023-04-28,36981.35,36764.07,37658.47,35844.38,381815.63,0.59%,36041504527282.06,639239638.98,-17.37,-41.53
ETH,2022-07-21,18935.34,19302.11,19400.19,18745.64,920951.16,-1.9%,14930524683589.81,714691962.36,-11.31,-41.63
ETH,2023-02-11,29152.17,29302.88,29469.46,29110.93,823760.88,-0.51%,24866971010797.1,28591332.42,1.03,25.24
ETH,2022-09-18,25158.48,24904.66,25161.14,24263.66,799458.88,1.02%,15693650221149.09,105525059.75,-1.66,-13.84
ETH,2022-09-04,49746.47,49435.63,50418.62,49287.23,683130.19,0.63%,43666403024720.25,495910518.99,16.68,-17.75
XRP,2023-10-12,32567.07,31789.73,32664.43,31246.92,19607.61,2.45%,22988708499010.47,747291846.31,-7.27,-17.82
ADA,2022-10-18,43868.28,43736.71,44339.3,43580.8,301438.52,0.3%,31000258480425.79,470960949.09,12.0,1.65
BTC,2022-07-26,11363.92,11332.02,11372.65,11316.73,337288.42,0.28%,1835606840631.11,149670670.8,6.24,46.86
ADA,2023-06-15,45220.89,45064.41,45566.84,44490.54,807058.89,0.35%,34281438291250.79,990542030.14,9.88,40.58
ETH,2023-03-12,26678.39,26817.27,27415.88,25991.57,793129.81,-0.52%,10382704390898.61,586802067.13,14.05,29.81
BTC,2022-11-22,15304.79,15191.86,15762.13,14859.17,269387.46,0.74%,12629441043824.09,772707675.43,-4.63,-11.63
ETH,2024-03-06,46376.68,46782.66,47021.61,46053.21,942443.48,-0.87%,22346560700282.82,141763972.4,15.6,10.2
BTC,2024-04-08,34653.1,34964.95,35775.24,34612.18,471616.17,-0.89%,15920446750564.25,102379029.36,11.13,-47.98
ADA,2024-02-11,6686.31,6721.83,7045.74,6021.75,203023.88,-0.53%,5239616861281.98,777683527.55,-15.56,-43.98
XRP,2024-02-08,31843.54,31652.4,31990.27,31528.08,625817.07,0.6%,25117481402112.55,127982015.82,16.47,29.93
BTC,2023-11-02,43402.75,43035.57,44031.41,42997.39,377865.83,0.85%,8302385455262.4,357197259.92,5.28,45.65
BTC,2023-09-29,12634.94,12843.78,12870.44,12323.72,877118.51,-1.63%,2911413396282.12,776566301.3,15.39,12.74
ADA,2024-05-04,25499.35,26233.21,26740.32,25287.72,892923.69,-2.8%,10776904053365.82,84948026.18,-15.81,-43.71
XRP,2022-10-26,36621.53,36740.54,36771.24,36293.82,39832.89,-0.32%,33668482287284.23,962280244.02,8.9,-42.15
BTC,2022-09-21,17682.62,18026.74,18056.12,17678.86,974580.28,-1.91%,14485384672851.96,71447093.87,15.74,-29.2
ETH,2024-03-24,33605.02,33720.58,34658.84,33597.39,375438.85,-0.34%,861140883899.18,605243389.34,14.37,-31.3
BTC,2023-09-20,18210.74,17288.04,18247.21,17157.88,368617.47,5.34%,8630015643031.31,293339353.98,17.49,45.81
LTC,2022-11-24,29347.42,29691.67,29772.48,29158.44,382823.04,-1.16%,4336959681181.42,126110759.69,-11.09,0.83
ETH,2022-11-24,14639.24,14623.87,15043.66,14577.61,30344.12,0.11%,1154204512139.98,74137938.22,-3.19,5.08
ETH,2024-01-15,21403.6,21167.22,21804.19,21082.66,375563.48,1.12%,20311652474861.45,58799256.79,-3.65,-8.28
LTC,2023-08-14,10534.42,10279.11,10572.42,9808.22,798551.85,2.48%,2925337595650.5,558623406.8,7.53,29.57
XRP,2023-07-02,9748.06,9350.5,9772.2,9175.76,346984.02,4.25%,5106280422651.82,356012080.45,5.26,-41.35
